scope,cipai,length_bucket,metric_type,count,mean,p50,p90,p95,p99,max
sentence,西江月,<=5,semantic,7,0.7048318130629403,0.7150517702102661,0.7578057765960693,0.7729109585285187,0.7849951040744781,0.788016140460968
sentence,西江月,<=5,lexical,7,0.37402597402597404,0.36363636363636365,0.45818181818181825,0.5018181818181817,0.5367272727272726,0.5454545454545454
sentence,贺新郎,6-8,semantic,3968,0.7035453956604244,0.6921030282974243,0.7888322055339814,0.8317335247993469,0.9999998211860657,1.0000005960464478
sentence,贺新郎,6-8,lexical,3968,0.40430109682511245,0.375,0.5333333333333333,0.625,1.0,1.0
sentence,贺新郎,9-11,semantic,661,0.6984519624854361,0.6830220222473145,0.7747235894203186,0.8119750618934631,0.9999998807907104,1.000000238418579
sentence,贺新郎,9-11,lexical,661,0.393308295039184,0.35294117647058826,0.5,0.5555555555555556,1.0,1.0
sentence,贺新郎,<=5,semantic,2585,0.759132416036189,0.7435805201530457,0.8775132894515991,0.9999995827674866,1.000000238418579,1.0000005960464478
sentence,贺新郎,<=5,lexical,2585,0.4895475875940093,0.4444444444444444,0.6666666666666666,1.0,1.0,1.0
sentence,踏莎行,6-8,semantic,1192,0.6871705021734206,0.6758405864238739,0.7759777903556824,0.8171266913414001,0.9999995934963227,1.000000238418579
sentence,踏莎行,6-8,lexical,1192,0.36353941081290075,0.36363636363636365,0.4285714285714285,0.5714285714285714,1.0,1.0
sentence,踏莎行,9-11,semantic,6,0.6198392113049825,0.6340894997119904,0.6720939874649048,0.6778578162193298,0.6824688792228698,0.6836216449737549
sentence,踏莎行,9-11,lexical,6,0.2532051282051282,0.25,0.3557692307692308,0.40865384615384615,0.4509615384615385,0.46153846153846156
sentence,踏莎行,<=5,semantic,802,0.718531834217081,0.7118551731109619,0.8076407313346863,0.879291620850563,1.0,1.0000003576278687
sentence,踏莎行,<=5,lexical,802,0.39357656751671716,0.36363636363636365,0.5,0.7488636363636348,1.0,1.0
sentence,醉花阴,6-8,semantic,69,0.6767706249071204,0.6554255485534668,0.9486665725708008,0.9869060039520261,1.0000001192092896,1.0000001192092896
sentence,醉花阴,6-8,lexical,69,0.3479013739883305,0.3333333333333333,0.8571428571428571,0.942857142857142,1.0,1.0
sentence,醉花阴,<=5,semantic,269,0.6853706282753926,0.6450667381286621,0.9999998807907104,1.0,1.000000238418579,1.000000238418579
sentence,醉花阴,<=5,lexical,269,0.40158461942848556,0.25,1.0,1.0,1.0,1.0
sentence,采桑子,6-8,semantic,431,0.6695605367767838,0.6610374450683594,0.7692769169807434,0.7995981574058533,0.8844374895095823,1.0000001192092896
sentence,采桑子,6-8,lexical,431,0.3406153011721457,0.36363636363636365,0.42857142857142855,0.5454545454545454,0.7142857142857143,1.0
sentence,采桑子,<=5,semantic,429,0.7127547893490824,0.7026483416557312,0.8503412485122681,0.9300794243812556,1.0,1.000000238418579
sentence,采桑子,<=5,lexical,429,0.40547667820395095,0.36363636363636365,0.5,0.75,1.0,1.0
sentence,雪梅香,6-8,semantic,22,0.5800935693762519,0.5579054355621338,0.7844957113265993,0.8036651194095611,0.8041123151779175,0.8041123151779175
sentence,雪梅香,6-8,lexical,22,0.21929030565394203,0.2,0.2857142857142857,0.3597402597402597,0.5503636363636362,0.6
sentence,雪梅香,<=5,semantic,36,0.627699593702952,0.6032360792160034,0.777868926525116,0.8463762998580933,1.0,1.0
sentence,雪梅香,<=5,lexical,36,0.3036014911014911,0.25,0.5714285714285714,0.7,1.0,1.0
sentence,青玉案,6-8,semantic,796,0.6816022770114281,0.6750541925430298,0.7708309590816498,0.7997418791055679,0.9999997287988662,1.0000005960464478
sentence,青玉案,6-8,lexical,796,0.37043570960028244,0.36363636363636365,0.5,0.5714285714285714,1.0,1.0
sentence,青玉案,9-11,semantic,12,0.6563868224620819,0.6507893204689026,0.7122253119945526,0.7284810990095139,0.7437282651662827,0.7475400567054749
sentence,青玉案,9-11,lexical,12,0.3186431623931624,0.3076923076923077,0.375,0.4312499999999999,0.48625000000000007,0.5
sentence,青玉案,<=5,semantic,816,0.7158041659961728,0.7038287818431854,0.8283284604549408,0.8812398016452789,1.0,1.000000238418579
sentence,青玉案,<=5,lexical,816,0.4272129218820395,0.4,0.6,0.75,1.0,1.0
sentence,高阳台,6-8,semantic,210,0.6392431514603751,0.6363588273525238,0.7292506694793701,0.7564332485198975,0.7894620299339294,0.818150520324707
sentence,高阳台,6-8,lexical,210,0.29737964416535845,0.3076923076923077,0.4,0.4157142857142852,0.49653846153846143,0.5454545454545454
sentence,高阳台,<=5,semantic,308,0.6928212927146391,0.6860843002796173,0.8154467284679414,0.8848814040422438,0.9949813747406011,1.0
sentence,高阳台,<=5,lexical,308,0.3765620562698485,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.9825000000000017,1.0
